0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:43 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:57 +0530] "POST /ShoeRack/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:57 +0530] "GET /ShoeRack/home HTTP/1.1" 200 9839
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:57 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:57 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:57 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:57 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:57 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:57 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:57 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:57 +0530] "GET /ShoeRack/Resources/Images/shoes01.jpg HTTP/1.1" 200 207730
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:57 +0530] "GET /ShoeRack/Resources/Images/shoes02.jpg HTTP/1.1" 200 177679
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:57 +0530] "GET /ShoeRack/Resources/Images/shoes03.jpg HTTP/1.1" 200 113612
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:05 +0530] "GET /ShoeRack/all/product/getAllProducts HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:05 +0530] "GET /ShoeRack/all/product/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:05 +0530] "GET /ShoeRack/all/product/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:05 +0530] "GET /ShoeRack/all/product/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:05 +0530] "GET /ShoeRack/all/product/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:05 +0530] "GET /ShoeRack/all/product/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:05 +0530] "GET /ShoeRack/all/product/Resources/Images/13.png HTTP/1.1" 200 284901
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:05 +0530] "GET /ShoeRack/all/product/Resources/Images/17.png HTTP/1.1" 200 33425
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:05 +0530] "GET /ShoeRack/all/product/Resources/Images/14.png HTTP/1.1" 200 35153
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:05 +0530] "GET /ShoeRack/all/product/Resources/Images/18.png HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:05 +0530] "GET /ShoeRack/all/product/Resources/Images/16.png HTTP/1.1" 200 113612
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:09 +0530] "GET /ShoeRack/all/product/viewProduct/13 HTTP/1.1" 200 6216
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:10 +0530] "GET /ShoeRack/all/product/viewProduct/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:10 +0530] "GET /ShoeRack/all/product/viewProduct/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:10 +0530] "GET /ShoeRack/all/product/viewProduct/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:10 +0530] "GET /ShoeRack/Resources/js/controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:10 +0530] "GET /ShoeRack/all/product/viewProduct/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:10 +0530] "GET /ShoeRack/all/product/viewProduct/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:12 +0530] "GET /ShoeRack/cart/getCartId HTTP/1.1" 200 6104
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:12 +0530] "GET /ShoeRack/cart/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:12 +0530] "GET /ShoeRack/Resources/js/controller.js HTTP/1.1" 200 1149
