127.0.0.1 - - [20/Mar/2017:10:55:14 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:55:29 +0530] "GET /ShoeRack/ HTTP/1.1" 200 9108
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:55:32 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:55:38 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:55:38 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:55:38 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:55:39 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:55:39 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:55:39 +0530] "GET /ShoeRack/Resources/Images/shoes01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:55:39 +0530] "GET /ShoeRack/Resources/Images/shoes02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:55:39 +0530] "GET /ShoeRack/Resources/Images/shoes03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:55:40 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:56:17 +0530] "GET /ShoeRack/ HTTP/1.1" 200 9108
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:56:17 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:56:18 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:56:18 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:56:20 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:56:20 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:56:20 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:56:20 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:56:20 +0530] "GET /ShoeRack/Resources/Images/shoes01.jpg HTTP/1.1" 200 207730
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:56:20 +0530] "GET /ShoeRack/Resources/Images/shoes02.jpg HTTP/1.1" 200 177679
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:56:20 +0530] "GET /ShoeRack/Resources/Images/shoes03.jpg HTTP/1.1" 200 113612
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:56:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:17:21 +0530] "GET /ShoeRack/ HTTP/1.1" 200 9108
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:17:22 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:17:22 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:17:22 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:17:22 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:17:22 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:17:22 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:17:22 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:17:22 +0530] "GET /ShoeRack/Resources/Images/shoes01.jpg HTTP/1.1" 200 207730
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:17:22 +0530] "GET /ShoeRack/Resources/Images/shoes02.jpg HTTP/1.1" 200 177679
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:17:22 +0530] "GET /ShoeRack/Resources/Images/shoes03.jpg HTTP/1.1" 200 113612
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:18:41 +0530] "GET /ShoeRack/ HTTP/1.1" 200 9113
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:18:41 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:18:41 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:18:41 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:18:41 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:18:41 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:18:41 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:18:41 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:18:41 +0530] "GET /ShoeRack/Resources/Images/shoes01.jpg HTTP/1.1" 200 207730
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:18:41 +0530] "GET /ShoeRack/Resources/Images/shoes02.jpg HTTP/1.1" 200 177679
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:18:41 +0530] "GET /ShoeRack/Resources/Images/shoes03.jpg HTTP/1.1" 200 113612
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:20:51 +0530] "GET /ShoeRack/ HTTP/1.1" 200 9114
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:20:51 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:20:51 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:20:51 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:20:51 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:20:51 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:20:51 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:20:51 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:20:51 +0530] "GET /ShoeRack/Resources/Images/shoes01.jpg HTTP/1.1" 200 207730
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:20:51 +0530] "GET /ShoeRack/Resources/Images/shoes02.jpg HTTP/1.1" 200 177679
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:20:51 +0530] "GET /ShoeRack/Resources/Images/shoes03.jpg HTTP/1.1" 200 113612
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:44 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:44 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:44 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:44 +0530] "GET /ShoeRack/ HTTP/1.1" 200 9156
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:44 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:44 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:44 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:44 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:44 +0530] "GET /ShoeRack/Resources/Images/shoes01.jpg HTTP/1.1" 200 207730
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:44 +0530] "GET /ShoeRack/Resources/Images/shoes02.jpg HTTP/1.1" 200 177679
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:44 +0530] "GET /ShoeRack/Resources/Images/shoes03.jpg HTTP/1.1" 200 113612
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:53 +0530] "GET /ShoeRack/register HTTP/1.1" 200 12177
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:53 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:53 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:53 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:53 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:53 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:56 +0530] "GET /ShoeRack/ HTTP/1.1" 200 9156
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:56 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:56 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:21:56 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:22:02 +0530] "GET /ShoeRack/ HTTP/1.1" 200 9156
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:22:02 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [20/Mar/2017:11:22:02 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
