127.0.0.1 - - [17/Mar/2017:10:16:32 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:37 +0530] "GET /ShoeRack/ HTTP/1.1" 200 9108
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:38 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:38 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:38 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:38 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:38 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:38 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:39 +0530] "GET /ShoeRack/Resources/Images/shoes01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:39 +0530] "GET /ShoeRack/Resources/Images/shoes02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:39 +0530] "GET /ShoeRack/Resources/Images/shoes03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:39 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:58 +0530] "GET /ShoeRack/ HTTP/1.1" 200 9108
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:58 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:58 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:58 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:59 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:59 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:59 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:59 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:59 +0530] "GET /ShoeRack/Resources/Images/shoes01.jpg HTTP/1.1" 200 207730
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:59 +0530] "GET /ShoeRack/Resources/Images/shoes02.jpg HTTP/1.1" 200 177679
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:16:59 +0530] "GET /ShoeRack/Resources/Images/shoes03.jpg HTTP/1.1" 200 113612
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:00 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:07 +0530] "GET /ShoeRack/login HTTP/1.1" 200 6149
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:07 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:07 +0530] "GET /ShoeRack/Resources/css/Login.css HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:07 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:08 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:08 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:08 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:21 +0530] "POST /ShoeRack/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:21 +0530] "GET /ShoeRack/home HTTP/1.1" 200 9839
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:21 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:21 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:21 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:21 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:21 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:21 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:21 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:21 +0530] "GET /ShoeRack/Resources/Images/shoes01.jpg HTTP/1.1" 200 207730
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:21 +0530] "GET /ShoeRack/Resources/Images/shoes02.jpg HTTP/1.1" 200 177679
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:21 +0530] "GET /ShoeRack/Resources/Images/shoes03.jpg HTTP/1.1" 200 113612
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:24 +0530] "GET /ShoeRack/all/product/getAllProducts HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:25 +0530] "GET /ShoeRack/all/product/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:25 +0530] "GET /ShoeRack/all/product/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:25 +0530] "GET /ShoeRack/all/product/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:25 +0530] "GET /ShoeRack/all/product/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:25 +0530] "GET /ShoeRack/all/product/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:25 +0530] "GET /ShoeRack/all/product/Resources/Images/13.png HTTP/1.1" 200 284901
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:25 +0530] "GET /ShoeRack/all/product/Resources/Images/14.png HTTP/1.1" 200 35153
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:25 +0530] "GET /ShoeRack/all/product/Resources/Images/16.png HTTP/1.1" 200 113612
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:25 +0530] "GET /ShoeRack/all/product/Resources/Images/17.png HTTP/1.1" 200 33425
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:25 +0530] "GET /ShoeRack/all/product/Resources/Images/18.png HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:28 +0530] "GET /ShoeRack/all/product/viewProduct/13 HTTP/1.1" 200 6216
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:28 +0530] "GET /ShoeRack/all/product/viewProduct/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:10:17:29 +0530] "GET /ShoeRack/all/product/viewProduct/Resources/Images/logo.png HTTP/1.1" 200 20234
